model_name,model_group,preprocess_mode,accuracy,auc,market_mean_future_return,market_up_ratio,top1_hit_rate,top1_future_return,top3_hit_rate,top3_future_return,top5_hit_rate,top5_future_return,top_bin_actual_up_rate,top_bin_avg_future_ret
mlp,scale_sensitive,standard,0.6066057194422362,0.5446450089999038,0.004203914946057247,0.39629267559031434,0.4177493068592769,0.007624357746368028,0.41384043236979984,0.006651190769882371,0.4117253224466682,0.006187805771772327,0.5136397166777675,0.01809976906835793
logistic,scale_sensitive,standard,0.5316087632225397,0.5209792335094421,0.004203914946057247,0.39629267559031434,0.39713580718073654,0.0046811422015933316,0.39302115452568187,0.0038801525631451794,0.392650016263392,0.0038357851056723146,0.49162065187031345,0.01287600744670577
xgboost,tree,zscore,0.6044557362725508,0.5207091795072536,0.004203914946057247,0.39629267559031434,0.4121721054754859,0.01114472550542027,0.40898797509204177,0.008168039398503859,0.40804940608921214,0.007491080053874738,0.43673345150489695,0.011816452175683261
lightgbm_shallow,tree,zscore,0.4997317892414899,0.5167449626290562,0.004203914946057247,0.39629267559031434,0.4156063438583764,0.010925245882205774,0.4081863147903655,0.00773686294337788,0.40787396655577035,0.007320394256937394,0.42467538978292474,0.009704473841725732
lightgbm,tree,zscore,0.5145209805985863,0.5232998931069979,0.004203914946057247,0.39629267559031434,0.4119860706724207,0.010803560552548408,0.40956802260102376,0.007804514420337671,0.40749707513087635,0.007151895301908756,0.4412263927980577,0.01273211400130746
catboost,tree,zscore,0.6040088377056342,0.5165438174646277,0.004203914946057247,0.39629267559031434,0.412435904637445,0.010028533800766707,0.407194877656128,0.00773006699864335,0.4059145670740526,0.0070663695941208665,0.4268525879294416,0.009962967252411258
lightgbm_conservative,tree,zscore,0.5108315607789213,0.5224963702148987,0.004203914946057247,0.39629267559031434,0.4099579483511875,0.010100483140361454,0.4097685056533369,0.007650522696238563,0.4074865034129806,0.006932566648237411,0.43708327066726826,0.011938664956873585
mlp,scale_sensitive,zscore,0.6035615810469172,0.5360401185732272,0.004203914946057247,0.39629267559031434,0.4082826943331864,0.008801868179411783,0.4072804705729954,0.006997368508771837,0.4084989898716239,0.006690917706880989,0.48821161793037265,0.01790684717982515
logistic,scale_sensitive,zscore,0.49974647100530695,0.5117545968268417,0.004203914946057247,0.39629267559031434,0.39480766450171667,0.004907700963435491,0.39827460691063765,0.00478327089133412,0.4005347632279723,0.004934972590370268,0.41641779286537894,0.006932508492440556
