model_name,accuracy,auc,market_mean_future_return,market_up_ratio,top1_hit_rate,top1_future_return,top3_hit_rate,top3_future_return,top5_hit_rate,top5_future_return,top_bin_actual_up_rate,top_bin_avg_future_ret
xgboost,0.6127899648353852,0.5581848033761202,0.004203914946057247,0.39629267559031434,0.42437199103865775,0.011079734726971666,0.41978186929761635,0.008483564016702897,0.4171331069104442,0.00741580275833891,0.5317897134181059,0.019081949813497333
lightgbm,0.5715456674473068,0.5570262711682757,0.004203914946057247,0.39629267559031434,0.42393493805560556,0.010645059708282325,0.41869820009100883,0.007906538393981925,0.4176196137046106,0.007384528681868063,0.530280242643004,0.019301119594270135
lightgbm_shallow,0.5709161420621791,0.5551746304833842,0.004203914946057247,0.39629267559031434,0.4185548636233274,0.009988391552332276,0.4143633912984946,0.007517536665070048,0.4135136859009204,0.007058856434292251,0.5289123319654226,0.018351251145403057
lightgbm_conservative,0.5726575424875922,0.5570103508226378,0.004203914946057247,0.39629267559031434,0.4216853567302861,0.01025012187668715,0.41807937459712186,0.007877732630689277,0.41499838151361074,0.006995286992842625,0.5300904539887845,0.018764567210790718
mlp,0.605472358893926,0.5426639769737345,0.004203914946057247,0.39629267559031434,0.41839933031631793,0.008424089908315807,0.4144206976417128,0.007267319890042469,0.41465213613595386,0.006877839013398273,0.5112834726310437,0.018801148660831216
catboost,0.6129682945519913,0.5557608308340982,0.004203914946057247,0.39629267559031434,0.41693048877473354,0.008456123526307919,0.4141114417958733,0.006948300845534544,0.41262277017557475,0.006619540582857273,0.5325505446576284,0.018626903408026845
random_forest,0.6102056163117977,0.5485833744823456,0.004203914946057247,0.39629267559031434,0.4134288592033564,0.00628450217164717,0.410205595601883,0.006112186709395077,0.41071127916033895,0.005974804247730928,0.5091814737626138,0.015411867419234044
logistic,0.5315582722786814,0.5209507136949753,0.004203914946057247,0.39629267559031434,0.3947286166905337,0.004292022529266385,0.3935256703583537,0.004111386044965888,0.39323331542728196,0.003973817222401641,0.48922143680754,0.012649708961916849
